,Crash ID,DOT Case Number,Date Of Crash,Time Of Crash,Severity,Severity Text Format,Most Severe Injury,Most Severe Injury Text Format,Number Of Vehicles,Number Of Pedestrians,Number Of Qualifying Commercial Vehicles,Town,Town Text Format,Route Class,Route Class Text Format,Route or Local Road Number,Route Direction,Route Direction Text Format,Cumulative Route Mileage,Ramp or Turning Road Number,Ramp Letter,At or Between Intersections,At or Between Intersections Text Format,Intersecting Leg #1,Intersecting Leg #2,Intersecting Leg #3,Intersecting Leg #4,Name of Road that Crash Occurred On,Name or Route Number of Road at which Crash Occurred,Measure Distance,Unit Of Measure,Unit Of Measure Text Format,Measure Direction,Measure Direction Text Format,"Name of Nearest Intersection, Street, Town Line or Mile Marker",Alpha Description of Crash Location,Collision Type,Collision Type Text Format,Weather Condition,Weather Condition Text Format,Road Surface Condition,Road Surface Condition Text Format,Light Condition,Light Condition Text Format,Crash Occurred On,Crash Occurred On Text Format,Other Roadway Feature,Other Roadway Feature Text Format,Median Barrier Penetration,Median Barrier Penetration Text Format,Construction or Maintenance Related,Construction or Maintenance Related Text Format,At-Fault Traffic Unit Number,Contributing Factor,Contributing Factor Text Format,Average Daily Traffic,Rural or Urban,Rural or Urban Text Format,Number of Lanes,CrashId,Fatal Case Status,Fatal Case Status Text Format,CrashId.1,CrashId.2,Latitude,Longitude,Town Name,Town Number,Town Number.1,Town Number Text Format,Year,Month,Month Text Format,Day,Day of the Week,Day of the Week Text Format,Time of Crash,Hour of the Day,Case Identifier,Crash Severity,Crash Severity Text Format,Number Of Motor Vehicles,Number Of Non-Motorist,Number Of Witnesses,Milemarker,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,Distance From Nearest Landmark,Unit Of Measure From Nearest Landmark,Direction From Nearest Landmark,Latitude.1,Longitude.1,First Harmful Event,First Harmful Event Text Format,Manner of Crash / Collision Impact,Manner of Crash / Collision Impact Text Format,Location of First Harmful Event,Location of First Harmful Event Text Format,Weather 2,Weather 2 Text Format,"Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format",Environment 2,Environment 2 Text Format,Environment 3,Environment 3 Text Format,"Contributing Circumstances, Road","Contributing Circumstances, Road Text Format",Road 2,Road 2 Text Format,Road 3,Road 3 Text Format,Crash Specific Location,Crash Specific Location Text Format,Type of Intersection,Type of Intersection Text Format,School Bus Related,School Bus Related Text Format,Work Zone Related,Work Zone Related Text Format,Location Of Crash Relative To Work Zone,Location Of Crash Relative To Work Zone Text Format,Type of Work Zone,Type of Work Zone Text Format,Worker Presence,Worker Presence Text Format,Law Enforcement Presence,Law Enforcement Presence Text Format,Were Vehicles Moved Prior To Police Arrival,Trafficway Ownership,Trafficway Ownership Text Format,Trafficway Class,Trafficway Class Text Format,Police Agency,Police Agency Text Format,Badge Number,Approval Date,Police Case Status,Police Case Status Text Format,Crash Report Submission Date,Related Case Identifiers,Urban Area,Urban Area Text Format,No. of Through Lanes (Reverse Dir.),No. of Through Lanes (Log Dir.),Highway Type (FHWA),Highway Type (FHWA) Text Format,Functional Classification,Functional Classification Text Format,Date,fatal,suspected_serious_injury,suspected_minor_injury,possible_injury,no_apparent_injury,geometry,index_right
15462,,2242260,2015-01-14,,,,B,Suspected Minor Injury (B),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,5,Ice / Frost,1,Daylight,,,,,,,,,,,,,2.0,Urban,,24641.0,1.0,Complete,24641.0,24641.0,41.984532,-72.593215,Enfield,49.0,49.0,Enfield,2015.0,1.0,January,14.0,4.0,Wednesday,10:44:00,10.0,201502293,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,0.01,383.0,SPIER AV,SPIER AVE,,US 5-ENFIELD ST,71.0,Feet,W,41.984532,-72.593215,10.0,Pedalcycle/Pedalcyclist,3.0,Angle,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,True,1.0,Public Road,1.0,"Trafficway, On Road",CT0004900,Enfield PD,1322,2015-02-10 00:00:00.0,C,Closed,2015-02-10 00:00:00.0,,T,SPRINGFIELD,,2.0,,,7.0,LOCAL - NEW HPMS,2015-01-14,0,0,1,0,0,POINT (-72.593215 41.984532),0
15463,,2249792,2015-03-27,,,,B,Suspected Minor Injury (B),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,2,Cloudy,1,Dry,1,Daylight,,,,,,,,,,,,,2.0,Urban,,24688.0,1.0,Complete,24688.0,24688.0,41.970033,-72.566201,Enfield,49.0,49.0,Enfield,2015.0,3.0,March,27.0,6.0,Friday,13:20:00,13.0,201511324,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,1.0,0.0,400.0,SUN ST,Sun Street,RAFFIA RD,,,, ,41.970033,-72.566201,10.0,Pedalcycle/Pedalcyclist,3.0,Angle,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,2.0,Intersection,3.0,T-Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,True,1.0,Public Road,1.0,"Trafficway, On Road",CT0004900,Enfield PD,1407,2015-03-27 00:00:00.0,O,Open,2015-03-27 00:00:00.0,,T,SPRINGFIELD,,2.0,,,7.0,LOCAL - NEW HPMS,2015-03-27,0,0,1,0,0,POINT (-72.56620100000001 41.970033),0
15464,,2262067,2015-01-03,,,,B,Suspected Minor Injury (B),,,,,,3,State,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,4,Dark-Lighted,,,,,,,,,,,,10200.0,2.0,Urban,,24790.0,1.0,Complete,24790.0,24790.0,41.176692,-73.230809,Fairfield,51.0,51.0,Fairfield,2015.0,1.0,January,3.0,7.0,Saturday,00:26:00,0.0,1500000268,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,0.48,58.0,058,CT ROUTE 058,OLD STRATFIELD RD #2,,,, ,41.176692,-73.230809,14.0,Motor Vehicle in Operation,99.0,Unknown,4.0,Roadside,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,11.0,Through Roadway,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0005100,Fairfield PD,3701,2015-01-07 00:00:00.0,O,Open,2015-05-06 00:00:00.0,,A,BRIDGEPORT - STAMFORD,0.0,2.0,1.0,2 LANE CONTIGUOUS (WIDTH UNDER 36'),4.0,MINOR ARTERIAL - NEW HPMS,2015-01-03,0,0,1,0,0,POINT (-73.23080899999999 41.176692),0
15465,,2247320,2015-02-27,,,,B,Suspected Minor Injury (B),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,4,Dark-Lighted,,,,,,,,,,,,13500.0,2.0,Urban,,26038.0,1.0,Complete,26038.0,26038.0,41.345281,-72.932046,Hamden,62.0,62.0,Hamden,2015.0,2.0,February,27.0,6.0,Friday,21:01:00,21.0,1500008384,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,1.09,439.0,PUTNAM AV,PUTNAM AVE,,RT 10-DIXWELL AV,500.0,Feet,E,41.345281,-72.932046,10.0,Pedalcycle/Pedalcyclist,88.0,Not Applicable,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,11.0,Through Roadway,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0006200,Hamden PD,0039,2015-03-04 00:00:00.0,C,Closed,2015-03-12 00:00:00.0,,G,NEW HAVEN,,2.0,,,4.0,MINOR ARTERIAL - NEW HPMS,2015-02-27,0,0,1,0,0,POINT (-72.932046 41.345281),0
15466,,2275693,2015-01-19,,,,B,Suspected Minor Injury (B),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,2,Wet,1,Daylight,,,,,,,,,,,,1200.0,2.0,Urban,,26338.0,1.0,Complete,26338.0,26338.0,41.75224,-72.684418,Hartford,64.0,64.0,Hartford,2015.0,1.0,January,19.0,2.0,Monday,13:23:00,13.0,15-01927,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,0.02,7.0,ALLEN PL,"30 Allen Place, Hartford, CT",,WASHINGTON ST,100.0,Feet,W,41.75224,-72.684418,10.0,Pedalcycle/Pedalcyclist,88.0,Not Applicable,1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,11.0,Through Roadway,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0006400,Hartford PD,D90,2015-01-21 00:00:00.0,O,Open,2015-01-19 00:00:00.0,,D,HARTFORD,,2.0,,,7.0,LOCAL - NEW HPMS,2015-01-19,0,0,1,0,0,POINT (-72.68441799999999 41.75224),0
15467,,2272176,2015-01-05,,,,C,Possible Injury (C),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,5700.0,2.0,Urban,,28304.0,1.0,Complete,28304.0,28304.0,41.299976,-72.939088,New Haven,93.0,93.0,New Haven,2015.0,1.0,January,5.0,2.0,Monday,08:02:00,8.0,15000582,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,0.0,0.5,123.0,CONGRESS AV,620 CONGRESS AVENUE,HALLOCK ST,,,, ,41.299976,-72.939088,10.0,Pedalcycle/Pedalcyclist,4.0,"Sideswipe, same direction",1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0009300,New Haven PD,224,2015-01-05 00:00:00.0,C,Closed,2015-05-19 00:00:00.0,,G,NEW HAVEN,,2.0,,,4.0,MINOR ARTERIAL - NEW HPMS,2015-01-05,0,0,0,1,0,POINT (-72.939088 41.299976),0
15468,,2275313,2015-01-20,,,,O,No Apparent Injury (O),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,5000.0,2.0,Urban,,28560.0,1.0,Complete,28560.0,28560.0,41.313993,-72.904043,New Haven,93.0,93.0,New Haven,2015.0,1.0,January,20.0,3.0,Tuesday,13:15:00,13.0,15002798,O,Property Damage Only,1.0,1.0,1.0,0.63,316.0,HUMPHREY ST,171 HUMPHREY ST,EAST ST,,,, ,41.313993,-72.904043,10.0,Pedalcycle/Pedalcyclist,97.0,Other,2.0,Shoulder,88.0,Not Applicable,99.0,Unknown,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,2.0,Intersection,2.0,Four-Way Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0009300,New Haven PD,60,2015-01-25 00:00:00.0,C,Closed,2015-05-21 00:00:00.0,,G,NEW HAVEN,,4.0,,,5.0,MAJOR COLLECTOR - NEW HPMS,2015-01-20,0,0,0,0,1,POINT (-72.904043 41.313993),0
15469,,2273527,2015-02-24,,,,O,No Apparent Injury (O),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,1,Clear,1,Dry,1,Daylight,,,,,,,,,,,,9300.0,2.0,Urban,,29317.0,1.0,Complete,29317.0,29317.0,41.33681,-72.972363,New Haven,93.0,93.0,New Haven,2015.0,2.0,February,24.0,3.0,Tuesday,15:01:00,15.0,15007887,O,Property Damage Only,1.0,1.0,0.0,0.19,612.0,VALLEY ST NO 1,VALLEY STREET,,HARPER AV,500.0,Feet,E,41.33681,-72.972363,10.0,Pedalcycle/Pedalcyclist,4.0,"Sideswipe, same direction",1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,1.0,Non-Junction,1.0,Not at Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0009300,New Haven PD,225,2015-02-27 00:00:00.0,C,Closed,2015-05-19 00:00:00.0,,G,NEW HAVEN,,2.0,,,5.0,MAJOR COLLECTOR - NEW HPMS,2015-02-24,0,0,0,0,1,POINT (-72.972363 41.33681),0
15470,,2273686,2015-03-05,,,,O,No Apparent Injury (O),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,2,Cloudy,10,Standing Water,4,Dark-Lighted,,,,,,,,,,,,7200.0,2.0,Urban,,29384.0,1.0,Complete,29384.0,29384.0,41.306948,-72.937233,New Haven,93.0,93.0,New Haven,2015.0,3.0,March,5.0,5.0,Thursday,18:39:00,18.0,15008283,O,Property Damage Only,1.0,1.0,0.0,0.06,310.0,HOWE ST,HOWE STREET,NORTH FRONTAGE RD,,,, ,41.306948,-72.937233,10.0,Pedalcycle/Pedalcyclist,4.0,"Sideswipe, same direction",1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,3.0,Backup Due to Regular Congestion,88.0,Not Applicable,88.0,Not Applicable,3.0,Intersection-Related,2.0,Four-Way Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0009300,New Haven PD,772,2015-03-06 00:00:00.0,C,Closed,2015-05-19 00:00:00.0,,G,NEW HAVEN,,2.0,,,4.0,MINOR ARTERIAL - NEW HPMS,2015-03-05,0,0,0,0,1,POINT (-72.93723300000001 41.306948),0
15471,,2273995,2015-03-07,,,,A,Suspected Serious Injury (A),,,,,,4,Local,,,,,,,,,,,,,,,,,,,,,,,,2,Cloudy,1,Dry,1,Daylight,,,,,,,,,,,,5600.0,2.0,Urban,,29676.0,1.0,Complete,29676.0,29676.0,41.313823,-72.92502,New Haven,93.0,93.0,New Haven,2015.0,3.0,March,7.0,7.0,Saturday,16:30:00,16.0,15009755,A,"Injury of any type (Serious, Minor, Possible)",1.0,1.0,1.0,0.0,601.0,TRUMBULL ST,TRUMBULL ST,PROSPECT ST,,,, ,41.313823,-72.92502,14.0,Motor Vehicle in Operation,4.0,"Sideswipe, same direction",1.0,On Roadway,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,0.0,None,88.0,Not Applicable,88.0,Not Applicable,3.0,Intersection-Related,2.0,Four-Way Intersection,1.0,No,1.0,No,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,88.0,Not Applicable,False,1.0,Public Road,1.0,"Trafficway, On Road",CT0009300,New Haven PD,84,2015-03-07 00:00:00.0,C,Closed,2015-05-19 00:00:00.0,,G,NEW HAVEN,,2.0,,,5.0,MAJOR COLLECTOR - NEW HPMS,2015-03-07,0,1,0,0,0,POINT (-72.92502 41.313823),0
