,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,Date,Latitude,Longitude
228,229,20198388.0,2019838854410,5441,0,TRAF - ACCIDENT               ,2019-01-04 16:59:00,,2019-01-04 16:59:00,E 6TH AVE / N BROADWAY ST,3144173.0,1689600.0,-104.987436339,39.7256383655,3.0,311.0,Baker,1.0,0.0,PEDESTRIAN-OTHER,  ,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,EAST,MAKING LEFT TURN,CARELESS DRIVING,NO APPARENT,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,  ,  ,0.0,0.0,  ,  ,  ,  ,2019-01-04 16:59:00.000000,39.7256383655,-104.987436339
285,286,201912029.0,20191202954410,5441,0,TRAF - ACCIDENT               ,2019-01-06 11:09:00,,2019-01-06 11:09:00,2100 BLOCK E 16TH AVE,3151311.0,1695439.0,-104.961936962,39.7415541879,6.0,622.0,City Park West,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,ALLEY RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-01-06 11:09:00.000000,39.7415541879,-104.961936962
357,358,201915016.0,20191501654410,5441,0,TRAF - ACCIDENT               ,2019-01-07 18:00:00,,2019-01-07 18:05:00,E 31ST AVE / N DOWNING ST,3148063.0,1702415.0,-104.973342804,39.7607567114,2.0,211.0,Five Points,2.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,NORTH,GOING STRAIGHT,CARELESS DRIVING,NO APPARENT,  ,SUV,EAST,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-01-07 18:05:00.000000,39.7607567114,-104.973342804
456,457,201919419.0,20191941954010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2019-01-09 15:36:00,,2019-01-09 16:21:00,N SPEER BLVD / AURARIA PKWY,3139895.0,1697596.0,-105.002489493,39.7476541505,6.0,123.0,Auraria,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,  ,ON PRIVATE PROPERTY,ALLEY RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,NORTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,SUV,NORTHEAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-01-09 16:21:00.000000,39.7476541505,-105.002489493
472,473,201919757.0,20191975754410,5441,0,TRAF - ACCIDENT               ,2019-01-09 18:03:00,,2019-01-09 18:03:00,29TH ST / LARIMER ST,3145703.0,1702619.0,-104.981732954,39.7613539824,2.0,211.0,Five Points,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,NORTH,OTHER,OTHER,NO APPARENT,  ,PASSENGER CAR/VAN,NORTH,OTHER,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-01-09 18:03:00.000000,39.7613539824,-104.981732954
1081,1082,201947061.0,20194706154410,5441,0,TRAF - ACCIDENT               ,2019-01-21 14:04:00,,2019-01-21 15:57:00,E 36TH AVE / N QUEBEC ST,3167695.0,1704978.0,-104.90345419,39.7674593599,5.0,221.0,Northeast Park Hill,1.0,0.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,SOUTH,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2019-01-21 15:57:00.000000,39.7674593599,-104.90345419
1195,1196,201951987.0,20195198754411,5441,1,TRAF - ACCIDENT - SBI         ,2019-01-23 15:50:00,,2019-01-23 17:26:00.000001,E 17TH AVE / N LINCOLN ST,3144508.0,1696028.0,-104.986116105,39.7432792227,6.0,621.0,North Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,CARELESS DRIVING,OTHER,CROSS AGAINST SIGNAL,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2019-01-23 17:26:00.000001,39.7432792227,-104.986116105
1224,1225,201953188.0,20195318854410,5441,0,TRAF - ACCIDENT               ,2019-01-24 06:36:00,,2019-01-24 07:05:00,W ALAMEDA AVE / S SANTA FE DR,3141472.0,1684323.0,-104.997142578,39.7111933714,3.0,312.0,Baker,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTHWEST,MAKING RIGHT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-01-24 07:05:00.000000,39.7111933714,-104.997142578
1585,1586,2018486804.0,201848680454010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2018-07-18 15:53:00.000001,,2018-07-18 15:53:00.000001,E 33RD AVE / N DOWNING ST,3148059.0,1703325.0,-104.973338267,39.7632548663,2.0,211.0,Five Points,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,SOUTH,MAKING LEFT TURN,CARELESS DRIVING,OTHER,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2018-07-18 15:53:00.000001,39.7632548663,-104.973338267
1768,1769,201992723.0,20199272354010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2019-02-10 17:58:00,,2019-02-10 17:58:00,MORRISON RD / S STUART ST,3128566.0,1681624.0,-105.043063957,39.7039711886,4.0,412.0,Westwood,1.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,NORTHEAST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,SUV,NORTHEAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2019-02-10 17:58:00.000000,39.7039711886,-105.043063957
